State,Date,Cumulative_Cases,Daily_Cases,Avg7_Cases,Cumulative_Deaths,Daily_Deaths,Avg7_Deaths,Population
Alabama,1/22/20,0,,,0,,,"4,903,185"
,1/23/20,0,0,0,0,0,0,"4,903,185"
,1/24/20,0,0,0,0,0,0,"4,903,185"
,1/25/20,0,0,0,0,0,0,"4,903,185"
,1/26/20,0,0,0,0,0,0,"4,903,185"
,1/27/20,0,0,0,0,0,0,"4,903,185"
,1/28/20,0,0,0,0,0,0,"4,903,185"
,1/29/20,0,0,0,0,0,0,"4,903,185"
,1/30/20,0,0,0,0,0,0,"4,903,185"
,1/31/20,0,0,0,0,0,0,"4,903,185"
,2/1/20,0,0,0,0,0,0,"4,903,185"
,2/2/20,0,0,0,0,0,0,"4,903,185"
,2/3/20,0,0,0,0,0,0,"4,903,185"
,2/4/20,0,0,0,0,0,0,"4,903,185"
,2/5/20,0,0,0,0,0,0,"4,903,185"
,2/6/20,0,0,0,0,0,0,"4,903,185"
,2/7/20,0,0,0,0,0,0,"4,903,185"
,2/8/20,0,0,0,0,0,0,"4,903,185"
,2/9/20,0,0,0,0,0,0,"4,903,185"
,2/10/20,0,0,0,0,0,0,"4,903,185"
,2/11/20,0,0,0,0,0,0,"4,903,185"
,2/12/20,0,0,0,0,0,0,"4,903,185"
,2/13/20,0,0,0,0,0,0,"4,903,185"
,2/14/20,0,0,0,0,0,0,"4,903,185"
,2/15/20,0,0,0,0,0,0,"4,903,185"
,2/16/20,0,0,0,0,0,0,"4,903,185"
,2/17/20,0,0,0,0,0,0,"4,903,185"
,2/18/20,0,0,0,0,0,0,"4,903,185"
,2/19/20,0,0,0,0,0,0,"4,903,185"
,2/20/20,0,0,0,0,0,0,"4,903,185"
,2/21/20,0,0,0,0,0,0,"4,903,185"
,2/22/20,0,0,0,0,0,0,"4,903,185"
,2/23/20,0,0,0,0,0,0,"4,903,185"
,2/24/20,0,0,0,0,0,0,"4,903,185"
,2/25/20,0,0,0,0,0,0,"4,903,185"
,2/26/20,0,0,0,0,0,0,"4,903,185"
,2/27/20,0,0,0,0,0,0,"4,903,185"
,2/28/20,0,0,0,0,0,0,"4,903,185"
,2/29/20,0,0,0,0,0,0,"4,903,185"
,3/1/20,0,0,0,0,0,0,"4,903,185"
,3/2/20,0,0,0,0,0,0,"4,903,185"
,3/3/20,0,0,0,0,0,0,"4,903,185"
,3/4/20,0,0,0,0,0,0,"4,903,185"
,3/5/20,0,0,0,0,0,0,"4,903,185"
,3/6/20,0,0,0,0,0,0,"4,903,185"
,3/7/20,0,0,0,0,0,0,"4,903,185"
,3/8/20,0,0,0,0,0,0,"4,903,185"
,3/9/20,0,0,0,0,0,0,"4,903,185"
,3/10/20,0,0,0,0,0,0,"4,903,185"
,3/11/20,0,0,0,0,0,0,"4,903,185"
,3/12/20,0,0,0,0,0,0,"4,903,185"
,3/13/20,5,5,1,0,0,0,"4,903,185"
,3/14/20,7,2,1,0,0,0,"4,903,185"
,3/15/20,11,4,2,0,0,0,"4,903,185"
,3/16/20,29,18,4,0,0,0,"4,903,185"
,3/17/20,39,10,6,0,0,0,"4,903,185"
,3/18/20,51,12,7,0,0,0,"4,903,185"
,3/19/20,78,27,11,0,0,0,"4,903,185"
,3/20/20,106,28,14,0,0,0,"4,903,185"
,3/21/20,131,25,18,0,0,0,"4,903,185"
,3/22/20,157,26,21,0,0,0,"4,903,185"
,3/23/20,196,39,24,0,0,0,"4,903,185"
,3/24/20,242,46,29,0,0,0,"4,903,185"
,3/25/20,381,139,47,1,1,0,"4,903,185"
,3/26/20,517,136,63,1,0,0,"4,903,185"
,3/27/20,587,70,69,4,3,1,"4,903,185"
,3/28/20,694,107,80,4,0,1,"4,903,185"
,3/29/20,825,131,95,10,6,1,"4,903,185"
,3/30/20,899,74,100,10,0,1,"4,903,185"
