State,Total_Cases,Total_Deaths,Population,Deaths_per_Million
US,,,,
US.Alabama,78130,1456,4903185,296
US.Alaska,2339,20,731545,27
US.American Samoa,0,0,55641,0
US.Arizona,160041,3286,7278717,451
US.Arkansas,37981,399,3017804,132
US.California,446452,8408,39512223,212
US.Colorado,43771,1794,5758736,311
US.Connecticut,48776,4413,3565287,1237
US.Delaware,14175,579,973764,594
US.Diamond Princess,49,0,0,0
US.District of Columbia,11717,581,705749,823
US.Florida,414511,5777,21477737,268
US.Georgia,165188,3494,10617423,329
US.Grand Princess,103,3,0,0
US.Guam,337,5,164229,30
US.Hawaii,1620,26,1415872,18
US.Idaho,17265,144,1787065,80
US.Illinois,171122,7589,12671821,598
US.Indiana,61520,2895,6732219,430
US.Iowa,41886,826,3155070,261
US.Kansas,25009,329,2913314,112
US.Kentucky,26764,696,4467673,155
US.Louisiana,103734,3715,4648794,799
US.Maine,3790,119,1344212,88
US.Maryland,83054,3433,6045680,567
US.Massachusetts,115268,8510,6892503,1234
US.Michigan,85622,6400,9986857,640
US.Minnesota,50291,1611,5639632,285
US.Mississippi,50981,1478,2976149,496
US.Missouri,41034,1200,6626371,181
US.Montana,3259,46,1068778,43
US.Nebraska,24395,316,1934408,163
US.Nevada,41816,732,3080156,237
US.New Hampshire,6415,409,1359711,300
US.New Jersey,178858,15776,8882190,1776
US.New Mexico,18788,607,2096829,289
US.New York,411200,32608,26161672,1246
US.North Carolina,111421,1811,10488084,172
US.North Dakota,5736,99,762062,129
US.Northern Mariana Islands,40,2,55144,36
US.Ohio,83184,3297,11689100,282
US.Oklahoma,30081,496,3956971,125
US.Oregon,16104,282,4217737,66
US.Pennsylvania,111115,7124,12801989,556
US.Puerto Rico,14540,201,3754939,53
US.Rhode Island,18224,1002,1059361,945
US.South Carolina,80008,1465,5148714,284
US.South Dakota,8305,122,884659,137
US.Tennessee,90796,964,6829174,141
US.Texas,390286,4990,28995881,172
US.Utah,37623,274,3205958,85
US.Vermont,1396,56,623989,89
US.Virgin Islands,352,7,107268,65
US.Virginia,83609,2075,8535519,243
US.Washington,51849,1494,7614893,196
US.West Virginia,5775,103,1792147,57
US.Wisconsin,47870,891,5822434,153
US.Wyoming,2446,25,578759,43
